"period","anio","Y","Y_eff","E","CO2","Cstock","damage","YD","Cd","Hh","TXd","Ns","def","phi","sigma","omega","E_g","E_c","Y_g","Y_c","CO2_g","CO2_c","esc"
27,2048,85501.433690754,83005.0216160428,177538.720655839,7286.02517408925,33422.3066929928,0.0291973124537342,71972.1834715531,71974.1827791848,54378.5047159235,11032.8381444897,2114658.53962824,2.91739291308416,2.07644144656066,0.0410390766992924,0.348482314677923,61869.1043191041,115669.616336735,47969.6238326033,37531.8098581506,545.767207646881,6740.25796644236,"2. Global"
28,2049,85499.9480115335,83003.7913519339,177535.63572993,7285.89857157823,33419.4678596445,0.0291948324841427,71971.1449148539,71972.6970999644,54376.9525308129,11032.6464370801,2114621.79516543,2.91766782612843,2.07644144656066,0.0410390766992924,0.348482314677923,61868.0292769825,115667.606452947,47968.7903088803,37531.1577026533,545.757724355613,6740.14084722262,"2. Global"
29,2050,85498.810074028,83002.8596730234,177533.27286933,7285.80160196083,33417.15114952,0.0291928086349215,71970.3600718474,71971.5591624589,54375.7534402014,11032.499601176,2114593.65120153,2.91787839881408,2.07644144656066,0.0410390766992924,0.348482314677923,61867.2058618513,115666.067007478,47968.15188176,37530.6581922679,545.750460746711,6740.05114121412,"2. Global"
1,2022,87862.8050418614,85725.5400108944,113321.5692888,999.64589947706,27844.9766860982,0.0243250261580959,74387.9978773461,74335.5541302923,56110.1956151226,11337.5421335483,2173061,2.49219083886239,1.28975587832427,0.00882132065193575,0.999999999999998,113321.5692888,2.26461987739945e-10,87862.8050418613,7.34810794151057e-11,999.645899477047,1.31963108835501e-11,"3. Totalmente renovable"
2,2023,88640.5108101939,86876.4554524395,114324.619875114,1008.49413032904,22781.0376664489,0.0199012318592315,75438.5605938471,75113.2598986248,56435.4963103448,11437.8948585925,2192295.55634991,2.35711192758194,1.28975587832427,0.00882132065193575,0.999999999999998,114324.619875113,2.28466485480366e-10,88640.5108101939,7.41314872787882e-11,1008.49413032903,1.33131162494834e-11,"3. Totalmente renovable"
3,2024,89529.3039719405,88056.4562699084,115470.946080091,1018.60624135486,18831.5546945808,0.0164510125365624,76503.8743157411,76002.0530603714,56937.3175657145,11552.5819541673,2214277.57429184,2.20561187208677,1.28975587832427,0.00882132065193575,0.999999999999998,115470.946080091,2.3075730542406e-10,89529.3039719405,7.48747993193131e-11,1018.60624135485,1.34466060790876e-11,"3. Totalmente renovable"
4,2025,90469.7299065388,89224.6344476894,116683.865957367,1029.30579651743,15754.0746143445,0.0137625641210125,77550.7028660897,76942.4789949697,57545.5414368346,11673.9315815997,2237536.59636483,2.04855185472981,1.28975587832427,0.00882132065193575,0.999999999999998,116683.865957367,2.33181206258661e-10,90469.7299065387,7.566129267963e-11,1029.30579651741,1.35878507501403e-11,"3. Totalmente renovable"
5,2026,91419.3877829509,90352.5371167317,117908.692785867,1040.11038671472,13358.5360503047,0.0116698513531082,78556.0646467419,77892.1368713818,58209.4692121947,11796.4724699898,2261023.94682662,1.89322908800106,1.28975587832427,0.00882132065193575,0.999999999999998,117908.692785867,2.35628901961782e-10,91419.3877829508,7.64555068616217e-11,1040.1103867147,1.37304819871487e-11,"3. Totalmente renovable"
6,2027,92348.7712733808,91421.3352184967,119107.370605866,1050.68430812329,11495.9905122866,0.0100427546798488,79504.9380036055,78821.5203618117,58892.8868539885,11916.3972148913,2284009.86238138,1.74431524585121,1.28975587832427,0.00882132065193575,0.999999999999998,119107.370605866,2.3802434144855e-10,92348.7712733807,7.72327652479756e-11,1050.68430812328,1.38700681688545e-11,"3. Totalmente renovable"
7,2028,93238.0807751723,92419.5125008177,120254.362763452,1060.80229373061,10049.7469332334,0.00877933423284904,80388.3615634437,79710.8298636032,59570.418553829,12031.150937374,2306004.65066924,1.60460185554734,1.28975587832427,0.00882132065193575,0.999999999999998,120254.362763451,2.40316492232898e-10,93238.0807751722,7.79765091119988e-11,1060.80229373059,1.4003635548723e-11,"3. Totalmente renovable"
